T19,Consumer Price Index,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
108,Burundi,2005,Consumer price index: General,61.3,Bujumbura,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
108,Burundi,2010,Consumer price index: General,100.0,Bujumbura,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
108,Burundi,2015,Consumer price index: General,154.0,Bujumbura,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
108,Burundi,2021,Consumer price index: General,211.9,Bujumbura,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
108,Burundi,2022,Consumer price index: General,251.7,Bujumbura,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
108,Burundi,2023,Consumer price index: General,319.5,Bujumbura,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
108,Burundi,2000,Consumer price index: Food,40.8,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
108,Burundi,2005,Consumer price index: Food,57.7,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
108,Burundi,2010,Consumer price index: Food,100.0,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
108,Burundi,2015,Consumer price index: Food,147.1,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2000,Consumer price index: General,78.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2005,Consumer price index: General,82.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2015,Consumer price index: General,108.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2021,Consumer price index: General,113.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2022,Consumer price index: General,122.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2023,Consumer price index: General,126.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2015,Consumer price index: Food,109.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2021,Consumer price index: Food,112.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2022,Consumer price index: Food,130.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
132,Cabo Verde,2023,Consumer price index: Food,141.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
116,Cambodia,2000,Consumer price index: General,61.0,Phnom Penh,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
116,Cambodia,2005,Consumer price index: General,68.2,Phnom Penh,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
116,Cambodia,2010,Consumer price index: General,100.0,Phnom Penh,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
116,Cambodia,2015,Consumer price index: General,117.5,Phnom Penh,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
116,Cambodia,2021,Consumer price index: General,137.9,Phnom Penh,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
116,Cambodia,2022,Consumer price index: General,145.2,Phnom Penh,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
116,Cambodia,2023,Consumer price index: General,148.2,Phnom Penh,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
120,Cameroon,2000,Consumer price index: General,77.6,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
120,Cameroon,2005,Consumer price index: General,85.7,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
120,Cameroon,2010,Consumer price index: General,100.0,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
120,Cameroon,2015,Consumer price index: General,112.9,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
120,Cameroon,2021,Consumer price index: General,124.3,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
120,Cameroon,2022,Consumer price index: General,132.1,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
120,Cameroon,2023,Consumer price index: General,141.8,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
120,Cameroon,2015,Consumer price index: Food,109.8,Estimate.;Base: 2011=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2000,Consumer price index: General,81.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2005,Consumer price index: General,91.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2015,Consumer price index: General,108.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2021,Consumer price index: General,121.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2022,Consumer price index: General,129.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2023,Consumer price index: General,134.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2000,Consumer price index: Food,75.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2005,Consumer price index: Food,86.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2015,Consumer price index: Food,114.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2021,Consumer price index: Food,128.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2022,Consumer price index: Food,139.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
124,Canada,2023,Consumer price index: Food,149.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2015,Consumer price index: General,103.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2021,Consumer price index: General,119.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2022,Consumer price index: General,130.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2023,Consumer price index: General,135.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2015,Consumer price index: Food,115.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2021,Consumer price index: Food,136.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2022,Consumer price index: Food,148.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
136,Cayman Islands,2023,Consumer price index: Food,157.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
140,Central African Republic,2000,Consumer price index: General,72.5,Estimate.;Bangui.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
140,Central African Republic,2005,Consumer price index: General,80.9,Estimate.;Bangui.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
140,Central African Republic,2010,Consumer price index: General,100.0,Estimate.;Bangui.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
140,Central African Republic,2015,Consumer price index: General,133.1,Estimate.;Bangui.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
140,Central African Republic,2021,Consumer price index: General,161.0,Estimate.;Bangui.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
140,Central African Republic,2022,Consumer price index: General,169.9,Estimate.;Bangui.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
140,Central African Republic,2023,Consumer price index: General,175.0,Estimate.;Bangui.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
148,Chad,2000,Consumer price index: General,72.2,Estimate.;N'Djamena,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
148,Chad,2005,Consumer price index: General,85.6,Estimate.;N'Djamena,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
148,Chad,2010,Consumer price index: General,100.0,Estimate.;N'Djamena,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
148,Chad,2015,Consumer price index: General,116.7,Estimate.;N'Djamena,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
148,Chad,2021,Consumer price index: General,122.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
148,Chad,2022,Consumer price index: General,129.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
148,Chad,2015,Consumer price index: Food,110.9,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
148,Chad,2021,Consumer price index: Food,102.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
148,Chad,2022,Consumer price index: Food,115.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2015,Consumer price index: General,118.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2021,Consumer price index: General,142.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2022,Consumer price index: General,158.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2023,Consumer price index: General,170.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2010,Consumer price index: Food,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2015,Consumer price index: Food,137.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2021,Consumer price index: Food,173.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2022,Consumer price index: Food,203.8,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
152,Chile,2023,Consumer price index: Food,228.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
156,China,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
156,China,2015,Consumer price index: General,114.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
156,China,2021,Consumer price index: General,112.6,Index base: 2015=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
156,China,2022,Consumer price index: General,114.8,Index base: 2015=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
156,China,2023,Consumer price index: General,115.1,Index base: 2015=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
156,China,2010,Consumer price index: Food,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
156,China,2015,Consumer price index: Food,129.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2000,Consumer price index: General,95.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2005,Consumer price index: General,89.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2015,Consumer price index: General,123.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2021,Consumer price index: General,137.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2022,Consumer price index: General,139.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2023,Consumer price index: General,142.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2010,Consumer price index: Food,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2015,Consumer price index: Food,127.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2021,Consumer price index: Food,153.8,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2022,Consumer price index: Food,159.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
344,"China, Hong Kong SAR",2023,Consumer price index: Food,163.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2000,Consumer price index: General,80.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2005,Consumer price index: General,79.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2015,Consumer price index: General,131.3,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2021,Consumer price index: General,145.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2022,Consumer price index: General,146.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2023,Consumer price index: General,148.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2015,Consumer price index: Food,139.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2021,Consumer price index: Food,160.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2022,Consumer price index: Food,163.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
446,"China, Macao SAR",2023,Consumer price index: Food,167.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2000,Consumer price index: General,58.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2005,Consumer price index: General,79.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2015,Consumer price index: General,117.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2021,Consumer price index: General,149.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2022,Consumer price index: General,164.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2023,Consumer price index: General,184.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2015,Consumer price index: Food,121.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2021,Consumer price index: Food,169.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2022,Consumer price index: Food,211.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
170,Colombia,2023,Consumer price index: Food,243.0,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
174,Comoros,2000,Consumer price index: General,69.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
174,Comoros,2005,Consumer price index: General,84.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
174,Comoros,2010,Consumer price index: General,100.0,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
174,Comoros,2010,Consumer price index: Food,100.0,Estimate.;Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
178,Congo,2000,Consumer price index: General,75.8,Estimate.;Brazzaville,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
178,Congo,2005,Consumer price index: General,83.1,Estimate.;Brazzaville,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
178,Congo,2010,Consumer price index: General,100.0,Estimate.;Brazzaville,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
178,Congo,2015,Consumer price index: General,116.4,Estimate.;Brazzaville,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
178,Congo,2021,Consumer price index: General,129.2,Estimate.;Brazzaville,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
178,Congo,2022,Consumer price index: General,133.1,Estimate.;Brazzaville,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
178,Congo,2023,Consumer price index: General,138.8,Estimate.;Brazzaville,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2015,Consumer price index: General,108.9,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2021,Consumer price index: General,111.9,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2022,Consumer price index: General,123.8,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2023,Consumer price index: General,133.7,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2010,Consumer price index: Food,100.0,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2015,Consumer price index: Food,107.8,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2021,Consumer price index: Food,117.7,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2022,Consumer price index: Food,137.2,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
184,Cook Islands,2023,Consumer price index: Food,155.0,Calculated by the UN Statistics Division from national indices.;Refers to the island of Rarotonga.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
188,Costa Rica,2000,Consumer price index: General,37.4,Calculated by the UN Statistics Division from national indices.;Central area.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
188,Costa Rica,2005,Consumer price index: General,63.5,Break in the time series.;Calculated by the UN Statistics Division from national indices.;Central area.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
188,Costa Rica,2010,Consumer price index: General,100.0,Calculated by the UN Statistics Division from national indices.;Central area.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
188,Costa Rica,2015,Consumer price index: General,121.5,Calculated by the UN Statistics Division from national indices.;Central area.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
188,Costa Rica,2021,Consumer price index: General,132.0,Calculated by the UN Statistics Division from national indices.;Central area.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
188,Costa Rica,2022,Consumer price index: General,142.9,Calculated by the UN Statistics Division from national indices.;Central area.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
188,Costa Rica,2023,Consumer price index: General,143.7,Calculated by the UN Statistics Division from national indices.;Central area.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2024."
