T33,Net disbursements of official development assistance from donors,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
593,DAC total,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.65,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
593,DAC total,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.84,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
593,DAC total,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.88,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),552,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),749,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,194",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,680",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,826",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,494",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,546",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,079",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,220",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.75,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.80,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.73,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.77,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.23,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.15,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.22,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
36,Australia,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.19,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),248,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),620,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,573",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,208",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,324",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,492",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,836",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,827",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.49,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.41,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.60,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.70,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.45,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
40,Austria,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.64,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
31,Azerbaijan,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
31,Azerbaijan,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),44,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
31,Azerbaijan,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.06,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),378,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),440,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,034",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,963",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,004",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,904",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,649",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,687",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,886",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.63,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),-0.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.84,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.68,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.92,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
56,Belgium,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.86,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
100,Bulgaria,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),40,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
100,Bulgaria,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),41,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
100,Bulgaria,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),91,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
100,Bulgaria,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),232,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
100,Bulgaria,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),170,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
100,Bulgaria,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
100,Bulgaria,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),880,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,631",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,067",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,756",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,214",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,277",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,258",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,274",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,197",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.51,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.04,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.20,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.46,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.51,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
124,Canada,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.31,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
191,Croatia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),51,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
191,Croatia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),88,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
191,Croatia,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),138,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
191,Croatia,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),147,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
191,Croatia,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
191,Croatia,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.19,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
196,Cyprus,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),15,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
196,Cyprus,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),51,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
196,Cyprus,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),18,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
196,Cyprus,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),20,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
196,Cyprus,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),14,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
196,Cyprus,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),18,Estimate.;Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
196,Cyprus,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.07,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
196,Cyprus,2022,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.05,Data refer to government controlled areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),135,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),228,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),199,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),366,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2022,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,051",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2023,Net official development assistance to developing countries and multilateral organizations (millions of US$),788,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.16,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
203,Czechia,2021,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.16,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
