T08,"Teaching staff at the primary, lower secondary and upper secondary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2022,Teachers with minimum required qualifications at upper secondary level,95.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Teachers at primary level,"2,577,292",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Teachers with minimum required qualifications at primary level,75.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Teachers at lower secondary level,"712,711",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2005,Teachers at upper secondary level,"458,121",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Teachers at primary level,"3,170,264",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Teachers with minimum required qualifications at primary level,75.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Teachers at lower secondary level,"1,128,195",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Teachers with minimum required qualifications at lower secondary level,65.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Teachers at upper secondary level,"736,694",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2010,Teachers with minimum required qualifications at upper secondary level,55.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Teachers at primary level,"4,052,317",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Teachers with minimum required qualifications at primary level,71.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Teachers at lower secondary level,"1,576,616",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Teachers with minimum required qualifications at lower secondary level,56.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
202,Sub-Saharan Africa,2015,Teachers at upper secondary level,"1,206,927",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
