T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
24,Angola,2015,Major trading partner 3 (% of imports),Republic of Korea,,3.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2020,Major trading partner 3 (% of imports),Republic of Korea,,3.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
24,Angola,2023,Major trading partner 3 (% of imports),Republic of Korea,,9.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2015,Major trading partner 1 (% of exports),Chile,,1.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2020,Major trading partner 1 (% of exports),Chile,,73.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2023,Major trading partner 1 (% of exports),Chile,,57.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2015,Major trading partner 1 (% of imports),Chile,,0.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2020,Major trading partner 1 (% of imports),Chile,,54.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2023,Major trading partner 1 (% of imports),Chile,,47.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2015,Major trading partner 2 (% of exports),Netherlands,,0.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2023,Major trading partner 2 (% of exports),Netherlands,,7.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2015,Major trading partner 2 (% of imports),United States,,60.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2020,Major trading partner 2 (% of imports),United States,,31.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2023,Major trading partner 2 (% of imports),United States,,29.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2015,Major trading partner 3 (% of exports),United States,,40.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2020,Major trading partner 3 (% of exports),United States,,4.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2023,Major trading partner 3 (% of exports),United States,,5.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
660,Anguilla,2023,Major trading partner 3 (% of imports),Botswana,,14.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2015,Major trading partner 1 (% of exports),United States,,30.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2020,Major trading partner 1 (% of exports),United States,,11.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2023,Major trading partner 1 (% of exports),United States,,25.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2015,Major trading partner 1 (% of imports),United States,,55.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2020,Major trading partner 1 (% of imports),United States,,48.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2023,Major trading partner 1 (% of imports),United States,,50.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2020,Major trading partner 2 (% of exports),Sint Maarten,,10.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2023,Major trading partner 2 (% of exports),Sint Maarten,,13.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2015,Major trading partner 2 (% of imports),Japan,,3.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2020,Major trading partner 2 (% of imports),Japan,,3.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
28,Antigua and Barbuda,2023,Major trading partner 2 (% of imports),Japan,,5.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
