T32,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
484,Mexico,2005,Net official development assistance received: Total (as % GNI),0.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
484,Mexico,2010,Net official development assistance received: Total (as % GNI),0.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
484,Mexico,2015,Net official development assistance received: Total (as % GNI),0.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
484,Mexico,2020,Net official development assistance received: Total (as % GNI),0.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
484,Mexico,2021,Net official development assistance received: Total (as % GNI),0.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),1995,Net official development assistance received: Bilateral  (millions of US dollars),71,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2005,Net official development assistance received: Bilateral  (millions of US dollars),102,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2010,Net official development assistance received: Bilateral  (millions of US dollars),63,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2015,Net official development assistance received: Bilateral  (millions of US dollars),77,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2020,Net official development assistance received: Bilateral  (millions of US dollars),160,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2021,Net official development assistance received: Bilateral  (millions of US dollars),91,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2022,Net official development assistance received: Bilateral  (millions of US dollars),146,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),1995,Net official development assistance received: Multilateral (millions of US dollars),3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2005,Net official development assistance received: Multilateral (millions of US dollars),3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2010,Net official development assistance received: Multilateral (millions of US dollars),1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2015,Net official development assistance received: Multilateral (millions of US dollars),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2020,Net official development assistance received: Multilateral (millions of US dollars),12,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2021,Net official development assistance received: Multilateral (millions of US dollars),40,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2022,Net official development assistance received: Multilateral (millions of US dollars),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),1995,Net official development assistance received: Total (millions of US dollars),74,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2005,Net official development assistance received: Total (millions of US dollars),105,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2010,Net official development assistance received: Total (millions of US dollars),64,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2015,Net official development assistance received: Total (millions of US dollars),81,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2020,Net official development assistance received: Total (millions of US dollars),172,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2021,Net official development assistance received: Total (millions of US dollars),131,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2022,Net official development assistance received: Total (millions of US dollars),150,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),1995,Net official development assistance received: Total (as % GNI),31.7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2005,Net official development assistance received: Total (as % GNI),40.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2010,Net official development assistance received: Total (as % GNI),20.8,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2015,Net official development assistance received: Total (as % GNI),21.7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2020,Net official development assistance received: Total (as % GNI),37.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
583,Micronesia (Fed. States of),2021,Net official development assistance received: Total (as % GNI),29.4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,1995,Net official development assistance received: Bilateral  (millions of US dollars),128,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2005,Net official development assistance received: Bilateral  (millions of US dollars),135,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2010,Net official development assistance received: Bilateral  (millions of US dollars),206,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2015,Net official development assistance received: Bilateral  (millions of US dollars),191,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2020,Net official development assistance received: Bilateral  (millions of US dollars),523,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2021,Net official development assistance received: Bilateral  (millions of US dollars),112,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2022,Net official development assistance received: Bilateral  (millions of US dollars),225,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,1995,Net official development assistance received: Multilateral (millions of US dollars),25,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2005,Net official development assistance received: Multilateral (millions of US dollars),61,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2010,Net official development assistance received: Multilateral (millions of US dollars),81,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2015,Net official development assistance received: Multilateral (millions of US dollars),45,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2020,Net official development assistance received: Multilateral (millions of US dollars),179,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2021,Net official development assistance received: Multilateral (millions of US dollars),170,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2022,Net official development assistance received: Multilateral (millions of US dollars),60,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,1985,Net official development assistance received: Total (millions of US dollars),5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,1995,Net official development assistance received: Total (millions of US dollars),153,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2005,Net official development assistance received: Total (millions of US dollars),195,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2010,Net official development assistance received: Total (millions of US dollars),287,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2015,Net official development assistance received: Total (millions of US dollars),236,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2020,Net official development assistance received: Total (millions of US dollars),702,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2021,Net official development assistance received: Total (millions of US dollars),282,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2022,Net official development assistance received: Total (millions of US dollars),284,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,1985,Net official development assistance received: Total (as % GNI),0.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,1995,Net official development assistance received: Total (as % GNI),10.8,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2005,Net official development assistance received: Total (as % GNI),7.9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2010,Net official development assistance received: Total (as % GNI),4.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2015,Net official development assistance received: Total (as % GNI),2.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2020,Net official development assistance received: Total (as % GNI),5.8,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
496,Mongolia,2021,Net official development assistance received: Total (as % GNI),2.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2005,Net official development assistance received: Bilateral  (millions of US dollars),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2010,Net official development assistance received: Bilateral  (millions of US dollars),54,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2015,Net official development assistance received: Bilateral  (millions of US dollars),27,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2020,Net official development assistance received: Bilateral  (millions of US dollars),38,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2021,Net official development assistance received: Bilateral  (millions of US dollars),8,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2022,Net official development assistance received: Bilateral  (millions of US dollars),37,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2005,Net official development assistance received: Multilateral (millions of US dollars),0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2010,Net official development assistance received: Multilateral (millions of US dollars),26,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2015,Net official development assistance received: Multilateral (millions of US dollars),73,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2020,Net official development assistance received: Multilateral (millions of US dollars),167,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2021,Net official development assistance received: Multilateral (millions of US dollars),126,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2022,Net official development assistance received: Multilateral (millions of US dollars),66,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2005,Net official development assistance received: Total (millions of US dollars),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2010,Net official development assistance received: Total (millions of US dollars),80,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2015,Net official development assistance received: Total (millions of US dollars),100,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2020,Net official development assistance received: Total (millions of US dollars),205,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2021,Net official development assistance received: Total (millions of US dollars),133,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2022,Net official development assistance received: Total (millions of US dollars),103,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2005,Net official development assistance received: Total (as % GNI),0.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2010,Net official development assistance received: Total (as % GNI),2.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2015,Net official development assistance received: Total (as % GNI),2.4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2020,Net official development assistance received: Total (as % GNI),4.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
499,Montenegro,2021,Net official development assistance received: Total (as % GNI),2.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,1985,Net official development assistance received: Bilateral  (millions of US dollars),2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,1995,Net official development assistance received: Bilateral  (millions of US dollars),9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2005,Net official development assistance received: Bilateral  (millions of US dollars),27,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2010,Net official development assistance received: Bilateral  (millions of US dollars),16,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2020,Net official development assistance received: Bilateral  (millions of US dollars),46,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2021,Net official development assistance received: Bilateral  (millions of US dollars),38,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2022,Net official development assistance received: Bilateral  (millions of US dollars),41,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,1985,Net official development assistance received: Multilateral (millions of US dollars),0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,1995,Net official development assistance received: Multilateral (millions of US dollars),1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2005,Net official development assistance received: Multilateral (millions of US dollars),1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2010,Net official development assistance received: Multilateral (millions of US dollars),10,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2020,Net official development assistance received: Multilateral (millions of US dollars),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2021,Net official development assistance received: Multilateral (millions of US dollars),2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2022,Net official development assistance received: Multilateral (millions of US dollars),1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,1985,Net official development assistance received: Total (millions of US dollars),2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,1995,Net official development assistance received: Total (millions of US dollars),9,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2005,Net official development assistance received: Total (millions of US dollars),28,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2010,Net official development assistance received: Total (millions of US dollars),26,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2015,Net official development assistance received: Total (millions of US dollars),52,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2020,Net official development assistance received: Total (millions of US dollars),50,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2021,Net official development assistance received: Total (millions of US dollars),40,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
500,Montserrat,2022,Net official development assistance received: Total (millions of US dollars),42,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,1985,Net official development assistance received: Bilateral  (millions of US dollars),836,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,1995,Net official development assistance received: Bilateral  (millions of US dollars),447,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2005,Net official development assistance received: Bilateral  (millions of US dollars),395,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2010,Net official development assistance received: Bilateral  (millions of US dollars),708,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2015,Net official development assistance received: Bilateral  (millions of US dollars),873,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2020,Net official development assistance received: Bilateral  (millions of US dollars),978,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2021,Net official development assistance received: Bilateral  (millions of US dollars),475,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2022,Net official development assistance received: Bilateral  (millions of US dollars),919,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,1985,Net official development assistance received: Multilateral (millions of US dollars),30,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,1995,Net official development assistance received: Multilateral (millions of US dollars),54,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2005,Net official development assistance received: Multilateral (millions of US dollars),338,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2010,Net official development assistance received: Multilateral (millions of US dollars),278,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2015,Net official development assistance received: Multilateral (millions of US dollars),645,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2020,Net official development assistance received: Multilateral (millions of US dollars),851,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2021,Net official development assistance received: Multilateral (millions of US dollars),491,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2022,Net official development assistance received: Multilateral (millions of US dollars),497,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,1985,Net official development assistance received: Total (millions of US dollars),866,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,1995,Net official development assistance received: Total (millions of US dollars),501,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2005,Net official development assistance received: Total (millions of US dollars),733,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2010,Net official development assistance received: Total (millions of US dollars),986,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2015,Net official development assistance received: Total (millions of US dollars),"1,518",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2020,Net official development assistance received: Total (millions of US dollars),"1,829",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2021,Net official development assistance received: Total (millions of US dollars),966,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2022,Net official development assistance received: Total (millions of US dollars),"1,415",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,1985,Net official development assistance received: Total (as % GNI),6.0,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,1995,Net official development assistance received: Total (as % GNI),1.3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2005,Net official development assistance received: Total (as % GNI),1.2,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2010,Net official development assistance received: Total (as % GNI),1.1,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2015,Net official development assistance received: Total (as % GNI),1.5,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2020,Net official development assistance received: Total (as % GNI),1.6,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
504,Morocco,2021,Net official development assistance received: Total (as % GNI),0.7,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,1985,Net official development assistance received: Bilateral  (millions of US dollars),242,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,1995,Net official development assistance received: Bilateral  (millions of US dollars),799,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2005,Net official development assistance received: Bilateral  (millions of US dollars),806,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2010,Net official development assistance received: Bilateral  (millions of US dollars),"1,432",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2015,Net official development assistance received: Bilateral  (millions of US dollars),"1,310",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2020,Net official development assistance received: Bilateral  (millions of US dollars),"1,761",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2021,Net official development assistance received: Bilateral  (millions of US dollars),"1,671",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2022,Net official development assistance received: Bilateral  (millions of US dollars),"1,772",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,1985,Net official development assistance received: Multilateral (millions of US dollars),54,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,1995,Net official development assistance received: Multilateral (millions of US dollars),264,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2005,Net official development assistance received: Multilateral (millions of US dollars),483,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
508,Mozambique,2010,Net official development assistance received: Multilateral (millions of US dollars),512,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
