T32,Net disbursements of official development assistance to recipients,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2021,Net official development assistance received: Multilateral (millions of US dollars),"23,015",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2022,Net official development assistance received: Multilateral (millions of US dollars),"19,732",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,1985,Net official development assistance received: Total (millions of US dollars),"12,323",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,1995,Net official development assistance received: Total (millions of US dollars),"21,843",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2005,Net official development assistance received: Total (millions of US dollars),"35,821",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2010,Net official development assistance received: Total (millions of US dollars),"47,820",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2015,Net official development assistance received: Total (millions of US dollars),"50,100",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2020,Net official development assistance received: Total (millions of US dollars),"73,623",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2021,Net official development assistance received: Total (millions of US dollars),"75,638",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
2,Africa,2022,Net official development assistance received: Total (millions of US dollars),"70,079",Including regional aid disbursements in addition to the disbursements made to individual countries and areas.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2024."
