T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
360,Indonesia,2021,Balance of Payments: Current account (millions of US dollars),"3,511",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2022,Balance of Payments: Current account (millions of US dollars),"13,215",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2023,Balance of Payments: Current account (millions of US dollars),"-1,880",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2010,Balance of Payments: Capital account (millions of US dollars),50,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2015,Balance of Payments: Capital account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2021,Balance of Payments: Capital account (millions of US dollars),80,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2022,Balance of Payments: Capital account (millions of US dollars),476,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2023,Balance of Payments: Capital account (millions of US dollars),43,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,1985,Balance of Payments: Financial account (millions of US dollars),"-1,272",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,1995,Balance of Payments: Financial account (millions of US dollars),"-8,686",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2010,Balance of Payments: Financial account (millions of US dollars),"3,866",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2015,Balance of Payments: Financial account (millions of US dollars),"-17,941",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2021,Balance of Payments: Financial account (millions of US dollars),975,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2022,Balance of Payments: Financial account (millions of US dollars),"13,155",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
360,Indonesia,2023,Balance of Payments: Financial account (millions of US dollars),"-3,700",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
364,Iran (Islamic Republic of),1985,Balance of Payments: Current account (millions of US dollars),-476,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
364,Iran (Islamic Republic of),1995,Balance of Payments: Current account (millions of US dollars),"3,358",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
364,Iran (Islamic Republic of),1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
364,Iran (Islamic Republic of),1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
364,Iran (Islamic Republic of),1985,Balance of Payments: Financial account (millions of US dollars),11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
364,Iran (Islamic Republic of),1995,Balance of Payments: Financial account (millions of US dollars),"3,641",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2010,Balance of Payments: Current account (millions of US dollars),"6,488",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2015,Balance of Payments: Current account (millions of US dollars),"-2,762",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2021,Balance of Payments: Current account (millions of US dollars),"24,565",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2022,Balance of Payments: Current account (millions of US dollars),"58,010",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2010,Balance of Payments: Capital account (millions of US dollars),25,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2015,Balance of Payments: Capital account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2021,Balance of Payments: Capital account (millions of US dollars),-18,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2022,Balance of Payments: Capital account (millions of US dollars),-27,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2010,Balance of Payments: Financial account (millions of US dollars),"-2,637",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2015,Balance of Payments: Financial account (millions of US dollars),"-16,953",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2021,Balance of Payments: Financial account (millions of US dollars),"23,724",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
368,Iraq,2022,Balance of Payments: Financial account (millions of US dollars),"54,991",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2010,Balance of Payments: Current account (millions of US dollars),"2,320",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2015,Balance of Payments: Current account (millions of US dollars),"12,912",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2021,Balance of Payments: Current account (millions of US dollars),"70,909",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2022,Balance of Payments: Current account (millions of US dollars),"57,807",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2023,Balance of Payments: Current account (millions of US dollars),"53,997",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2010,Balance of Payments: Capital account (millions of US dollars),-827,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2015,Balance of Payments: Capital account (millions of US dollars),"-1,455",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2021,Balance of Payments: Capital account (millions of US dollars),"1,841",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2022,Balance of Payments: Capital account (millions of US dollars),"-1,140",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2023,Balance of Payments: Capital account (millions of US dollars),"-12,798",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2010,Balance of Payments: Financial account (millions of US dollars),"-8,432",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2015,Balance of Payments: Financial account (millions of US dollars),"18,347",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2021,Balance of Payments: Financial account (millions of US dollars),"67,437",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2022,Balance of Payments: Financial account (millions of US dollars),"54,003",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
372,Ireland,2023,Balance of Payments: Financial account (millions of US dollars),"32,841",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,1985,Balance of Payments: Current account (millions of US dollars),988,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,1995,Balance of Payments: Current account (millions of US dollars),"-4,790",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2010,Balance of Payments: Current account (millions of US dollars),"8,247",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2015,Balance of Payments: Current account (millions of US dollars),"16,138",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2021,Balance of Payments: Current account (millions of US dollars),"19,095",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2022,Balance of Payments: Current account (millions of US dollars),"20,340",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2023,Balance of Payments: Current account (millions of US dollars),"25,089",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,1985,Balance of Payments: Capital account (millions of US dollars),151,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,1995,Balance of Payments: Capital account (millions of US dollars),285,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2010,Balance of Payments: Capital account (millions of US dollars),336,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2015,Balance of Payments: Capital account (millions of US dollars),332,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2021,Balance of Payments: Capital account (millions of US dollars),466,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2022,Balance of Payments: Capital account (millions of US dollars),495,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2023,Balance of Payments: Capital account (millions of US dollars),594,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,1985,Balance of Payments: Financial account (millions of US dollars),22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,1995,Balance of Payments: Financial account (millions of US dollars),"-3,831",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2010,Balance of Payments: Financial account (millions of US dollars),"8,475",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2015,Balance of Payments: Financial account (millions of US dollars),"15,130",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2021,Balance of Payments: Financial account (millions of US dollars),"18,791",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2022,Balance of Payments: Financial account (millions of US dollars),"18,215",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
376,Israel,2023,Balance of Payments: Financial account (millions of US dollars),"18,840",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,1985,Balance of Payments: Current account (millions of US dollars),"-4,088",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,1995,Balance of Payments: Current account (millions of US dollars),"25,096",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2010,Balance of Payments: Current account (millions of US dollars),"-70,819",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2015,Balance of Payments: Current account (millions of US dollars),"26,369",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2021,Balance of Payments: Current account (millions of US dollars),"51,549",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2022,Balance of Payments: Current account (millions of US dollars),"-32,783",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2023,Balance of Payments: Current account (millions of US dollars),"11,552",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,1985,Balance of Payments: Capital account (millions of US dollars),222,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,1995,Balance of Payments: Capital account (millions of US dollars),"1,721",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2010,Balance of Payments: Capital account (millions of US dollars),106,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2015,Balance of Payments: Capital account (millions of US dollars),"6,682",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2021,Balance of Payments: Capital account (millions of US dollars),"2,676",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2022,Balance of Payments: Capital account (millions of US dollars),"10,112",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2023,Balance of Payments: Capital account (millions of US dollars),"17,223",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,1985,Balance of Payments: Financial account (millions of US dollars),"-7,735",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,1995,Balance of Payments: Financial account (millions of US dollars),"5,625",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2010,Balance of Payments: Financial account (millions of US dollars),"-106,235",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2015,Balance of Payments: Financial account (millions of US dollars),"42,456",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2021,Balance of Payments: Financial account (millions of US dollars),"59,138",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2022,Balance of Payments: Financial account (millions of US dollars),"-7,271",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
380,Italy,2023,Balance of Payments: Financial account (millions of US dollars),"39,248",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,1985,Balance of Payments: Current account (millions of US dollars),-271,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,1995,Balance of Payments: Current account (millions of US dollars),-99,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2010,Balance of Payments: Current account (millions of US dollars),-934,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2015,Balance of Payments: Current account (millions of US dollars),-430,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2021,Balance of Payments: Current account (millions of US dollars),149,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2022,Balance of Payments: Current account (millions of US dollars),-130,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,1995,Balance of Payments: Capital account (millions of US dollars),21,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2010,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2015,Balance of Payments: Capital account (millions of US dollars),"1,466",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2021,Balance of Payments: Capital account (millions of US dollars),-31,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2022,Balance of Payments: Capital account (millions of US dollars),-30,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,1985,Balance of Payments: Financial account (millions of US dollars),-285,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,1995,Balance of Payments: Financial account (millions of US dollars),-81,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2010,Balance of Payments: Financial account (millions of US dollars),-785,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2015,Balance of Payments: Financial account (millions of US dollars),-115,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2021,Balance of Payments: Financial account (millions of US dollars),65,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
388,Jamaica,2022,Balance of Payments: Financial account (millions of US dollars),-572,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2010,Balance of Payments: Current account (millions of US dollars),"220,888",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2015,Balance of Payments: Current account (millions of US dollars),"136,472",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2021,Balance of Payments: Current account (millions of US dollars),"196,525",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2022,Balance of Payments: Current account (millions of US dollars),"90,277",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2023,Balance of Payments: Current account (millions of US dollars),"150,691",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2010,Balance of Payments: Capital account (millions of US dollars),"-4,964",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2015,Balance of Payments: Capital account (millions of US dollars),"-2,253",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2021,Balance of Payments: Capital account (millions of US dollars),"-3,856",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2022,Balance of Payments: Capital account (millions of US dollars),-865,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2023,Balance of Payments: Capital account (millions of US dollars),"-2,857",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2010,Balance of Payments: Financial account (millions of US dollars),"252,662",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2015,Balance of Payments: Financial account (millions of US dollars),"180,933",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2021,Balance of Payments: Financial account (millions of US dollars),"153,348",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2022,Balance of Payments: Financial account (millions of US dollars),"53,534",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
392,Japan,2023,Balance of Payments: Financial account (millions of US dollars),"167,280",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,1985,Balance of Payments: Current account (millions of US dollars),-260,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,1995,Balance of Payments: Current account (millions of US dollars),-259,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2010,Balance of Payments: Current account (millions of US dollars),"-1,882",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2015,Balance of Payments: Current account (millions of US dollars),"-3,470",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2021,Balance of Payments: Current account (millions of US dollars),"-3,718",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2022,Balance of Payments: Current account (millions of US dollars),"-4,159",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2010,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2015,Balance of Payments: Capital account (millions of US dollars),113,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2021,Balance of Payments: Capital account (millions of US dollars),15,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2022,Balance of Payments: Capital account (millions of US dollars),50,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,1985,Balance of Payments: Financial account (millions of US dollars),-290,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,1995,Balance of Payments: Financial account (millions of US dollars),-401,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2010,Balance of Payments: Financial account (millions of US dollars),"-1,117",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2015,Balance of Payments: Financial account (millions of US dollars),"-2,681",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2021,Balance of Payments: Financial account (millions of US dollars),"-1,861",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
400,Jordan,2022,Balance of Payments: Financial account (millions of US dollars),"-2,778",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,1995,Balance of Payments: Current account (millions of US dollars),-213,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2010,Balance of Payments: Current account (millions of US dollars),"2,678",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2015,Balance of Payments: Current account (millions of US dollars),"-9,980",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2021,Balance of Payments: Current account (millions of US dollars),"-2,673",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2022,Balance of Payments: Current account (millions of US dollars),"7,054",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2023,Balance of Payments: Current account (millions of US dollars),"-8,658",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2010,Balance of Payments: Capital account (millions of US dollars),"7,898",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2015,Balance of Payments: Capital account (millions of US dollars),132,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2021,Balance of Payments: Capital account (millions of US dollars),233,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2022,Balance of Payments: Capital account (millions of US dollars),248,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2023,Balance of Payments: Capital account (millions of US dollars),"1,273",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,1995,Balance of Payments: Financial account (millions of US dollars),-864,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2010,Balance of Payments: Financial account (millions of US dollars),"15,338",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2015,Balance of Payments: Financial account (millions of US dollars),"-10,424",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2021,Balance of Payments: Financial account (millions of US dollars),"-7,253",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2022,Balance of Payments: Financial account (millions of US dollars),"3,734",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
398,Kazakhstan,2023,Balance of Payments: Financial account (millions of US dollars),"-7,475",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
