T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
28,Antigua and Barbuda,2015,Balance of Payments: Current account (millions of US dollars),29,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2021,Balance of Payments: Current account (millions of US dollars),-288,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2022,Balance of Payments: Current account (millions of US dollars),-296,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2023,Balance of Payments: Current account (millions of US dollars),-262,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,1995,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2010,Balance of Payments: Capital account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2015,Balance of Payments: Capital account (millions of US dollars),47,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2021,Balance of Payments: Capital account (millions of US dollars),38,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2022,Balance of Payments: Capital account (millions of US dollars),28,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2023,Balance of Payments: Capital account (millions of US dollars),25,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,1985,Balance of Payments: Financial account (millions of US dollars),-23,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,1995,Balance of Payments: Financial account (millions of US dollars),24,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2010,Balance of Payments: Financial account (millions of US dollars),-120,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2015,Balance of Payments: Financial account (millions of US dollars),87,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2021,Balance of Payments: Financial account (millions of US dollars),-187,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2022,Balance of Payments: Financial account (millions of US dollars),-248,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
28,Antigua and Barbuda,2023,Balance of Payments: Financial account (millions of US dollars),-233,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,1985,Balance of Payments: Current account (millions of US dollars),-952,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
32,Argentina,1995,Balance of Payments: Current account (millions of US dollars),"-5,118",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2024."
