country,country_code,indicator,indicator_code,year,value
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,2024,1237529866666.67
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,2024,32267254425.052
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,2024,89083506277.2344
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,2024,2167239562.46013
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,2024,7547843281.27425
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,2024,547386645891.847
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,2024,1735210227.92581
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,2024,141775733420.114
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,2024,72485008929.2766
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,2024,1760767447.17461
"Somalia, Fed. Rep.",SOM,GDP (current US$),NY.GDP.MKTP.CD,2024,12108515109.9996
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,2024,400260724226.067
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,2015,11997800760.2242
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,2024,1722745978335.16
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,2024,98963185509.6499
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,2024,1066681481.48148
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,2024,2549062962.96296
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,2021,649206156.194207
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,2024,1157207407.40741
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,2024,49909807029.6996
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,2024,4714267822.2233
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,2024,610117791237.089
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2024,936564198048.516
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,2023,19993439949.5435
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,2024,14204575548.5536
